specialty	institution	city	state
Neurology	Northwestern McGaw/NMH/VA	Chicago	IL
Obstetrics-Gynecology	Brown University/Rhode Island Hospital	Providence	RI
Obstetrics-Gynecology	Cedars-Sinai Medical Center	Los Angeles	CA
Obstetrics-Gynecology	Hospital of the University of Pennsylvania	Philadelphia	PA
Obstetrics-Gynecology	Northwestern McGaw/NMH/VA	Chicago	IL
Obstetrics-Gynecology	NYP Hosp-Weill Cornell Medical Center	New York	NY
Obstetrics-Gynecology	UC San Diego Medical Center	San Diego	CA
Obstetrics-Gynecology	University of Washington Affiliated Hospitals	Seattle	WA
Obstetrics-Gynecology	University of Illinois Chicago	Chicago	IL
Ophthalmology	Massachusetts Eye and Ear Infirmary	Boston	MA
Ophthalmology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Ophthalmology	UC San Francisco	San Francisco	CA
Ophthalmology	University of Michigan Medical Center	Ann Arbor	MI
Oral Maxillofacial Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Oral Maxillofacial Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Orthopedic Surgery	MGB-Massachusetts General Hospital	Boston	MA
Orthopedic Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Orthopedic Surgery	Stanford Health Care	Stanford	CA
Orthopedic Surgery	USC Keck School of Medicine	Los Angeles	CA
Orthopedic Surgery	University of Washington Affiliated Hospitals	Seattle	WA
Otolaryngology	Johns Hopkins Hospital	Baltimore	MD
Otolaryngology	University of Utah Health	Salt Lake City	UT
Otolaryngology	UPMC Medical Education	Pittsburgh	PA
Otolaryngology	University of Washington Affiliated Hospitals	Seattle	WA
Pathology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Pediatrics	Boston Children's Hospital	Boston	MA
Pediatrics	Boston Children's Hospital	Boston	MA
Pediatrics	ISMMS Mount Sinai Hospital	New York	NY
Pediatrics	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Pediatrics	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Pediatrics	Johns Hopkins Hospital	Baltimore	MD
Plastic Surgery	ISMMS Mount Sinai Hospital	New York	NY
Plastic Surgery	NYP Hosp-Weill Cornell Medical Center	New York	NY
Psychiatry	Dartmouth-Hitchcock Medical Center	Lebanon	NH
Psychiatry	Hospital of the University of Pennsylvania	Philadelphia	PA
Psychiatry	Hospital of the University of Pennsylvania	Philadelphia	PA
Psychiatry	MGB-Massachusetts General Hospital	Boston	MA
Psychiatry	University of Colorado School of Medicine	Aurora	CO
Psychiatry	University of Washington Affiliated Hospitals	Seattle	WA
Psychiatry	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Psychiatry	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Psychiatry	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Psychiatry	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Psychiatry	Olive View-UCLA Medical Center	Los Angeles	CA
Psychiatry	San Mateo Behavioral Health & Recovery Services	San Mateo	CA
Psychiatry	Yale-New Haven Hospital	New Haven	CT
Psychiatry	Zucker School of Medicine at Northwell	New Hyde Park	NY
Radiation Oncology	MGB-Massachusetts General Hospital	Boston	MA
Radiology	Duke University Medical Center	Durham	NC
Radiology-Interventional	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Surgery	George Washington University	Washington	DC
Surgery	Hospital of the University of Pennsylvania	Philadelphia	PA
Surgery	Hospital of the University of Pennsylvania	Philadelphia	PA
Surgery	ISMMS Mount Sinai Hospital	New York	NY
Surgery	Johns Hopkins Hospital	Baltimore	MD
Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Surgery	UCLA Medical Center	Los Angeles	CA
Surgery (Prelim)	Bassett Medical Center	Cooperstown	NY
Surgery (Prelim)	Stamford Hospital/Columbia	Stamford	CT
Surgery (Prelim)	UC San Francisco	San Francisco	CA
Transitional	Ascension Resurrection	Chicago	IL
Transitional	Memorial Sloan-Kettering Cancer Center	New York	NY
Transitional	Memorial Sloan-Kettering Cancer Center	New York	NY
Transitional	WellStar Kennestone Regional Medical Center	Marietta	GA
Urology	Hospital of the University of Pennsylvania	Philadelphia	PA
Urology	ISMMS Mount Sinai Hospital	New York	NY
Urology	Lahey Hospital & Medical Center	Burlington	MA
Urology	Temple University Hospital	Philadelphia	PA
Urology	University of Colorado School of Medicine	Aurora	CO
Vascular Surgery	NYU Grossman School of Medicine	New York	NY
