specialty	institution	city	state
Neurology	Beth Israel Deaconess Medical Center	Boston	MA
Neurology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Neurology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Neurology	MGB-Brigham & Women's Hospital	Boston	MA
Neurology	New York-Presbyterian Weill Cornell Medical Center	New York	NY
Neurology	Northwestern McGaw/NMH/VA	Chicago	IL
Neurology	Ohio State University Medical Center	Columbus	OH
Neurology	UC San Francisco	San Francisco	CA
Neurology	University of Illinois Chicago	Chicago	IL
Neurology	University of Maryland Medical Center	Baltimore	MD
Neurology	University of Texas Southwestern Medical Center	Dallas	TX
Neurology	University of Texas Southwestern Medical Center	Dallas	TX
Neurology	Virginia Commonwealth University Health Systems	Richmond	VA
Obstetrics-Gynecology	Beth Israel Deaconess Medical Center	Boston	MA
Obstetrics-Gynecology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Obstetrics-Gynecology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Obstetrics-Gynecology	Cleveland Clinic	Cleveland	OH
Obstetrics-Gynecology	Cleveland Clinic	Cleveland	OH
Obstetrics-Gynecology	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Obstetrics-Gynecology	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Obstetrics-Gynecology	Ohio State University Medical Center	Columbus	OH
Obstetrics-Gynecology	University of Wisconsin Hospital and Clinics	Madison	WI
Obstetrics-Gynecology	UPMC Medical Education	Pittsburgh	PA
Obstetrics-Gynecology	Zucker School of Medicine at Northwell at South Shore University Hospital	Bay Shore	NY
Oral Maxillofacial Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Oral Maxillofacial Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Oral Maxillofacial Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Oral Maxillofacial Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Ophthalmology	Cleveland Clinic Cole Eye Institute	Cleveland	OH
Ophthalmology	Cleveland Clinic Cole Eye Institute	Cleveland	OH
Ophthalmology	Harvard Medical School/Massachusetts Eye and Ear Infirmary	Boston	MA
Ophthalmology	Harvard Medical School/Massachusetts Eye and Ear Infirmary	Boston	MA
Ophthalmology	New York Eye and Ear Infirmary	New York	NY
Ophthalmology	The Johns Hopkins Wilmer Eye Institute	Baltimore	MD
Ophthalmology	University of Miami/Bascom Palmer Eye Institute	Miami	FL
Ophthalmology	UT Southwestern Medical Center	Dallas	TX
Orthopaedic Surgery	Barnes Jewish Hospital	St Louis	MO
Orthopaedic Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Orthopaedic Surgery	Duke University Medical Center	Durham	NC
Orthopaedic Surgery	Hospital For Special Surgery	New York	NY
Orthopaedic Surgery	Stanford Health Care	Redwood City	CA
Orthopaedic Surgery	Thomas Jefferson University	Philadelphia	PA
Orthopaedic Surgery	Thomas Jefferson University	Philadelphia	PA
Orthopaedic Surgery	UC San Francisco	San Francisco	CA
Orthopaedic Surgery	University of Michigan Medical Center	Ann Arbor	MI
Orthopaedic Surgery	University of Southern California	Los Angeles	CA
Orthopaedic Surgery	University of Toledo	Toledo	OH
Otolaryngology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Otolaryngology	Dartmouth-Hitchcock Medical Center	Lebanon	NH
Otolaryngology	Hospital of the University of Pennsylvania	Philadelphia	PA
Otolaryngology	Medical University of South Carolina	Charleston	SC
Otolaryngology	Rush University Medical Center	Chicago	IL
Otolaryngology	University of Louisville School of Medicine	Louisville	KY
Pathology-Clinical Pathology	MGB-Brigham & Women's Hospital	Boston	MA
Pediatrics	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Pediatrics	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Pediatrics	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Pediatrics	Northwestern McGaw/Lurie Children's Hospital	Chicago	IL
Pediatrics	Stanford Health Care	Stanford	CA
Physical Medicine & Rehabilitation	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Physical Medicine & Rehabilitation	University of Texas Southwestern Medical Center	Dallas	TX
Physical Medicine & Rehabilitation	Emory University School of Medicine	Atlanta	GA
Plastic Surgery-Integrated	Cleveland Clinic	Cleveland	OH
Psychiatry	Cambridge Health Alliance	Cambridge	MA
Psychiatry	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Psychiatry	Cleveland Clinic	Cleveland	OH
Psychiatry	Cleveland Clinic	Cleveland	OH
Psychiatry	Cleveland Clinic	Cleveland	OH
Psychiatry	Duke University Medical Center	Durham	NC
Psychiatry	MGB-Brigham & Womens Hosp-MA	Boston	MA
Psychiatry	MGB-Massachusetts General Hospital	Boston	MA
Psychiatry	MGB-Massachusetts General Hospital	Boston	MA
Psychiatry	Penn State Health Milton S. Hershey Medical Center	Hershey	PA
Psychiatry	Rosalind Franklin University of Medicine and Science/Chicago Medical School	North Chicago	IL
Psychiatry	UC San Diego Medical Center	San Diego	CA
Psychiatry	University of Florida Health Shands Hospitals	Gainesville	FL
Psychiatry	University of Illinois Chicago	Chicago	IL
Psychiatry	Zucker School of Medicine at Northwell at Zucker Hillside Hospital	Glen Oaks	NY
Psychiatry/EPSP	Hospital of the University of Pennsylvania	Philadelphia	PA
Radiation Oncology	Hospital of the University of Pennsylvania	Philadelphia	PA
Radiation Oncology	Memorial Sloan-Kettering Cancer Center	New York	NY
Radiation Oncology	UC San Diego Medical Center	La Jolla	CA
Radiology-Diagnostic	Allegheny General Hospital	Pittsburgh	PA
Radiology-Diagnostic	Boston University Medical Center	Boston	MA
Radiology-Diagnostic	Jefferson Einstein Philadelphia Hospital	Philadelphia	PA
Radiology-Diagnostic	Northwestern McGaw/NMH/VA	Chicago	IL
Radiology-Diagnostic	Rush University Medical Center	Chicago	IL
Radiology-Diagnostic	Santa Clara Valley Medical Center	San Jose	CA
Radiology-Diagnostic	University of Connecticut School of Medicine	Farmington	CT
Radiology-Diagnostic	UPMC Medical Education	Pittsburgh	PA
Thoracic Surgery-Integrated	University of Washington Affiliate Hospitals	Seattle	WA
Thoracic Surgery-Integrated	Cedars-Sinai Medical Center	Los Angeles	CA
Transitional	BayCare Health System	Tampa	FL
Urology	Brown University/Rhode Island Hospital	Providence	RI
Urology	Cleveland Clinic	Cleveland	OH
Urology	Cleveland Clinic	Cleveland	OH
Urology	Duke University Medical Center	Durham	NC
Urology	Geisinger Health System	Danville	PA
Urology	Mayo Clinic Rochester	Rochester	MN
Urology	MGB-Massachusetts General Hospital	Boston	MA
Urology	New York-Presbyterian Weill Cornell Medical Center	New York	NY
Urology	University of Texas Health Science Center	Houston	TX
